id,label,parent,value
445243001_8,null,64766004_8,1
128524007_2,null,119523007_2,2
67401000119103_2,null,128524007_2,2
46040000_5,null,67401000119103_2,2
55957000,null,,1
64766004_9,null,46040000_5,1
445243001_9,null,64766004_9,1
64226004_5,null,128524007_2,1
64766004_10,null,64226004_5,1
445243001_10,null,64766004_10,1
235766003_4,null,119523007_2,3
46761000087106,null,,1
46040000_6,null,235766003_4,2
55957000,null,,1
64766004_11,null,46040000_6,1
445243001_11,null,64766004_11,1
1187638005_2,null,85919009_2,1
302168000_4,null,1187638005_2,1
64226004_6,null,302168000_4,1
64766004_12,null,64226004_6,1
445243001_12,null,64766004_12,1
119522002_2,null,85919009_2,6
52182008_3,null,119522002_2,4
51868009_7,null,52182008_3,4
1197691004,null,,1
235692002,null,,1
79806007,null,,1
724534002,null,,1
3411000119107_5,null,52182008_3,1
79806007,null,,1
235710003_4,null,119522002_2,6
54822007_5,null,235710003_4,2
16121001_9,null,54822007_5,1
2783007_13,null,16121001_9,1
35517004_13,null,2783007_13,1
77987006,null,,1
30514008_35,null,2783007_13,1
77987006,null,,1
196707000_13,null,16121001_9,1
30514008_36,null,196707000_13,1
77987006,null,,1
51868009_8,null,235710003_4,4
1197691004,null,,1
235692002,null,,1
79806007,null,,1
724534002,null,,1
304370001_2,null,119522002_2,2
54822007_6,null,304370001_2,2
16121001_10,null,54822007_6,1
2783007_14,null,16121001_10,1
35517004_14,null,2783007_14,1
77987006,null,,1
30514008_37,null,2783007_14,1
77987006,null,,1
196707000_14,null,16121001_10,1
30514008_38,null,196707000_14,1
77987006,null,,1
150541000119104_1,null,119292006_1,1
386211005_3,null,150541000119104_1,1
13267003_3,null,386211005_3,1
235675006_5,null,13267003_3,1
713704004_6,null,235675006_5,1
713702000,null,,1
302971009_1,null,119292006_1,3
717863000_2,null,302971009_1,1
16121001_11,null,717863000_2,1
2783007_15,null,16121001_11,1
35517004_15,null,2783007_15,1
77987006,null,,1
30514008_39,null,2783007_15,1
77987006,null,,1
196707000_15,null,16121001_11,1
30514008_40,null,196707000_15,1
77987006,null,,1
1197707003,null,,1
717862005,null,,1
79787007_1,null,119292006_1,5
87763006_2,null,79787007_1,1
46761000087106,null,,1
119523007_3,null,79787007_1,3
302168000_5,null,119523007_3,1
64226004_7,null,302168000_5,1
64766004_13,null,64226004_7,1
445243001_13,null,64766004_13,1
128524007_3,null,119523007_3,2
67401000119103_3,null,128524007_3,2
46040000_7,null,67401000119103_3,2
55957000,null,,1
64766004_14,null,46040000_7,1
445243001_14,null,64766004_14,1
64226004_8,null,128524007_3,1
64766004_15,null,64226004_8,1
445243001_15,null,64766004_15,1
235766003_5,null,119523007_3,3
46761000087106,null,,1
46040000_8,null,235766003_5,2
55957000,null,,1
64766004_16,null,46040000_8,1
445243001_16,null,64766004_16,1
304370001_3,null,79787007_1,2
54822007_7,null,304370001_3,2
16121001_12,null,54822007_7,1
2783007_16,null,16121001_12,1
35517004_16,null,2783007_16,1
77987006,null,,1
30514008_41,null,2783007_16,1
77987006,null,,1
196707000_16,null,16121001_12,1
30514008_42,null,196707000_16,1
77987006,null,,1
715852004_2,null,119292006_1,1
266071000_4,null,715852004_2,1
724534002,null,,1
312153005_2,null,715852004_2,1
724534002,null,,1
128068002_1,null,119292006_1,1
95518006_1,null,128068002_1,1
14511000119108,null,,1
126768004_1,null,119292006_1,1
428905002_1,null,126768004_1,1
1304123001_2,null,428905002_1,1
363349007_7,null,1304123001_2,1
276811008_7,null,363349007_7,1
448709005_7,null,276811008_7,1
449222008,null,,1
449072004_1,null,428905002_1,1
276811008_8,null,449072004_1,1
448709005_8,null,276811008_8,1
449222008,null,,1
254533000_2,null,126768004_1,1
1304123001_3,null,254533000_2,1
363349007_8,null,1304123001_3,1
276811008_9,null,363349007_8,1
448709005_9,null,276811008_9,1
449222008,null,,1
126824007_5,null,254533000_2,1
363349007_9,null,126824007_5,1
276811008_10,null,363349007_9,1
448709005_10,null,276811008_10,1
449222008,null,,1
74474003_2,null,119292006_1,6
87763006_3,null,74474003_2,1
46761000087106,null,,1
712510007_4,null,74474003_2,1
46761000087106,null,,1
27719009_2,null,74474003_2,4
12274003_6,null,27719009_2,4
89748001_22,null,12274003_6,3
308882008,null,,1
70418001,null,,1
48974009,null,,1
111353003_14,null,12274003_6,1
48974009,null,,1
37372002_3,null,74474003_2,5
61401005_5,null,37372002_3,3
15902003_11,null,61401005_5,3
